sentence,sentiment,positive,negative,neutral
Full year 2025 results | 7 Strategic repositioning since 2021 with focus on Energy Networks Power RAB in 2030 ~€65bn 3 Energy Networks capex run-rate doubled from 2021 to 2025 Grid connections Electrification Decarbonisation and digitalization AI and data centers Sector trends• We successfully delivered in FY 2025 with operational excellence as the foundation for our future growth • We further increase our investments from ~€43bn to ~ €48bn by 2030 • Further growth opportunity ahead once RP5 parameters for German power networks are clear and attractive enough Our growth strategy creates attractive long-term value for our shareholders ~€48bn T o make new energy work it’s on us (1) Adjusted for non-operating effects.,positive,0.9281073,0.009494744,0.062397927
"Full year 2025 results | 8 ~€13bn ~€1.45 up to 5% 10% Updated guidance for 2026-30 Total investments Adjusted EBITDA1 2030 EPS1 2030 DPS growth RAB CAGR Power GermanyFinancial performance Nadia Jakobi Chief Financial Officer 31 2 2025 promises delivered and new guidance with attractive shareholder value creation We successfully delivered on our 2025 guidance while accelerating our CAPEX with record-high RAB investments New 2026 guidance, and attractive 2030 outlook underpinned by our increased ~€48bn CAPEX plan and strong operational performance Our balance sheet capacity of €5 to 10 bn continues to serve as a solid basis for further growth opportunities Full year 2025 results | 10 Strong 2025 performance CAPEX uplift with attractive 2030 outlook Solid foundation for further organic growth Energy Networks • All: Organic RAB growth (+) • Germany: Higher volumes and lower redispatch costs (+) • Europe: Volume and network loss recoveries (+) Energy Infrastructure Solutions • Higher asset availability and increased volumes (+) • Investment-driven organic growth including continued smart meter installations (+) Energy Retail • T emporary effects from pricing (+) • UK B2C: Continued customer shift from SVT tariffs into fixed-term tariffs (-) • UK B2B: Continued roll-off of historical contracts (-) EBITDA at the upper end of guidance, reflecting investment-driven growth and value-neutral timing effects Key drivers 827 30 59 FY 2024 Energy Networks Energy Infrastructure Solutions Energy Retail Corp.",positive,0.9435684,0.01393799,0.042493634
"Functions & Other FY 2025 -116 9,049 9,849 (1) Adjusted for non-operating effects.",neutral,0.017853413,0.17682366,0.80532295
"Adjusted EBITDA1 €m Full year 2025 results | 11 +€800m (+9%)Strong ANI performance came in as expected Adjusted Net Income1 €m 9,849 6,227 4,883 Adjusted EBITDA D&A Adjusted EBIT Economic interest result Adjusted EBT Income taxes Minorities EPS1 € 1.16 Adjusted Net Income -3,622 -1,344 -1,221 -640 3,022 Full year 2025 results | 12 ~€9.5bn Underlying EBITDA2 +9% vs. FY 2024 (1) Adjusted for non-operating effects.",positive,0.88177836,0.06849832,0.049723268
(2) FY 2025 figures adjusted for value-neutral timing effects (for further details see page 28) and one-offs.,negative,0.024478748,0.6332844,0.34223688
~€2.84bn Underlying ANI2 +7% vs. FY 2024Balance sheet remains strong despite higher CAPEX Economic Net Debt (END) €bn -0.2 -0.5 -4.7 -32.5 END Q3 2025 +3.6 Net Investments Q4 20251 +0.3 Pension provisions2 +0.1 Margining effects Other (incl.,positive,0.9020291,0.036863063,0.061107866
AROs) -6.4 -4.4 -32.5 END FY 2025 OCF Q4 2025 -6.2 -43.4 -43.2 -3.2 Comfortable debt factor3 at year end 4.4x Strong annual Cash Conversion Rate4 as anticipated at 100% Significant acceleration in investment spending +13% vs. prior year (1) Net of divestments.,positive,0.9494554,0.021617377,0.028927274
(2) Actuarial interest rates for German pensions at 4.15% (vs. 3.90% at Q3 2025) and for UK pensions at 5.46% (vs. 5.73% at Q3 2025).,neutral,0.029359505,0.05055828,0.92008215
(3) Debt factor: END / Adjusted EBITDA.,neutral,0.037123714,0.019323442,0.9435528
(4) Cash Conversion Rate (CCR): OCFbIT excl.,neutral,0.072345175,0.011636281,0.9160185
OCFbIT related to dismantling activities / Adjusted EBITDA.,neutral,0.019394359,0.063993774,0.91661185
Asset Retirement Obligations (ARO) Pension provisions Net financial position Full year 2025 results | 13Attractive financial outlook with 6% earnings growth and growing dividend Adjusted EBITDA1 €bn Adjusted Net Income1 €bn (1) Adjusted for non-operating effects.,positive,0.94587195,0.025366299,0.02876177
"From FY 2026 onwards, guidance is presented excluding value-neutral timing effects.",neutral,0.04621018,0.012044008,0.94174576
(2) Underlying: FY 2025 also excluding value-neutral timing effects and additionally one offs in segments other than Energy Networks.,neutral,0.024115669,0.18702716,0.7888572
"TSR: beyond EPS1 growth from €1.16 in 2025 to ~€1.45 in 2030, we maintain a dividend growth target of up to 5% per annum Full year 2025 results | 14 9.4 2025 2026 2028 2030 One offs 9.52 9.4-9.6 >11.4 ~13.0 2.74 2025 2026 2028 2030 One offs 2.842 2.7-2.9 ~3.45 ~3.8 +6% CAGR Underlying 2025-2030 +6% CAGR Underlying 2025-2030Growth contributions across all segments, with a strong emphasis on EBITDA growth from power grid investments (1) Adjusted for non-operating effects.",neutral,0.38224477,0.007845158,0.6099101
"From FY 2026 onwards, guidance is presented excluding value-neutral timing effects.",neutral,0.046210214,0.012044014,0.94174576
(2) Underlying: FY 2025 excluding value-neutral timing effects and additionally one- offs in segments other than Energy Networks.,neutral,0.027195493,0.14331873,0.8294858
"Adjusted EBITDA1 €bn Energy Retail Energy Networks 2025 2026 2030 7.32 7.2-7.4 ~9.8 0.6 2025 2026 2030 One offs 0.62 0.60-0.75 ~1.1 1.7 2025 2026 2030 One offs 1.72 1.6-1.8 ~2.1 +6% CAGR Underlying 2025-2030 +12% CAGR Underlying 2025-2030 +4% CAGR Underlying 2025-2030 Energy Infrastructure Solutions Full year 2025 results | 15~€40bn (84%) Investment budget increased to €48bn, with a strict capital discipline Capital allocation and value creation framework2 Energy Networks 150-200bps ROCE over WACC spread3 Energy Infrastructure Solutions 120-350 bps IRR spread4 ~€ 5bn (11%) Energy Retail 3– 5% margin for Energy Sales B2C 5 and increase of cumulative cash contribution to ~€7bn by 2030 6 ~€ 2.5bn (5%) Full year 2025 results | 16 (1) Cash-effective investments including Corporate Functions.",positive,0.93251467,0.010785755,0.05669961
(2) Corporate Functions are not depicted in the investment breakdown.,neutral,0.016874507,0.05097472,0.93215084
(3) Average 2026-30 ROCE over pre-tax WACC.,neutral,0.33478716,0.015108474,0.6501043
(4) Unlevered post-tax IRR vs. post-tax WACC.,neutral,0.3081381,0.016508123,0.67535377
(5) Central energy procurement revenues excluded.,neutral,0.021093968,0.03984335,0.93906265
(6) vs. previous guidance of ~€5bn for 2024 -2028; cumulative OCF before interest and taxes minus cash effective investments 2026-2030 Group CAPEX development €bn ~23 2018-20221 ~27 2022-20262 ~43 2024-20282 ~48 2026-20302 Strategic repositioning since 2021 with focus on Energy Networks (1) Cash Conversion Rate (CCR): OCFbIT excl.,neutral,0.107836425,0.010382291,0.88178134
OCFbIT related to dismantling activities / Adjusted EBITDA.,neutral,0.019394347,0.063993774,0.91661185
(2) Debt factor: END / Adjusted EBITDA.,neutral,0.039322957,0.018477764,0.94219923
Strong BBB/Baa rating Debt factor2 target of ≤ 5.0x €5 -10bn extra balance sheet capacity in 2030 Based on strong BBB/Baa rating metrics High earnings quality and growth • Sustainable average CCR1 of ~100% from 2025 to 2030 Discretionary disposal program of €2bn • Opportunistic execution of our portfolio optimization according to strategic and financial incentives Sound funding strategy enabling sustainable green growth path • Sustainable funding strategy with volumes of €3.5-5bn p.a.,positive,0.9161665,0.008968855,0.074864626
"with more than 50% green bonds and growing diversification Solid growth foundation from strong balance sheet and strong cash generation Full year 2025 results | 17To t a l investments1 2026 - 2030 EPS2 2030 DPS growth ~€48 bn ~€1.45 up to 5% Delivering an attractive investment case for our shareholders T o make new energy work it’s on us Balance sheet capacity 2030 €5 –10bn Shareholder value focus • We pursue value-creative growth opportunities through our upgraded investment plan … • … combined with an attractive EPS outlook through 2030 … • … alongside consistent dividend growth, delivering attractive total shareholder remuneration … • … while retaining optionality for further EPS growth (1) Cash-effective investments including Corporate Functions.",positive,0.9077592,0.0083486205,0.08389215
(2) Adjusted for non-operating effects.,neutral,0.04204401,0.024459371,0.93349665
"Full year 2025 results | 18 Financial appendix Photo shown of an outdoor 110kV busbar (part of Schleswig-Holstein Netz AG, Germany)Guidance overview €bn FY 20251 FY 2026 FY 2030 Adj.",neutral,0.037535015,0.02101966,0.9414453
EBITDA2 9.849 9.4-9.6 ~13.0 Energy Networks 7.695 7.2-7.4 ~9.8 Energy Infrastructure Solutions 0.588 0.60-0.75 ~1.1 Energy Retail 1.697 1.6-1.8 ~2.1 Adj.,neutral,0.032233305,0.024414612,0.94335204
Net Income2 3.022 2.7-2.9 ~3.8 EPS (€ per share) 2 €1.16 €1.03- 1.11 ~€1.45 Dividend (€ per share) €0.57 3 Up to 5% p.a.,neutral,0.05506127,0.015893148,0.92904556
ROCE 8.9% 8-9% 8-9%4 FY 2025 FY 2026 FY 2026-2030 CAPEX5 8.509 ~8.7 ~48 Energy Networks 7.023 ~7.0 ~40 Energy Infrastructure Solutions 0.895 ~1.0 ~5 Energy Retail 0.480 ~0.6 ~2.5 Debt factor6 4.4x ≤5.0x ≤5.0x (1) As reported.,neutral,0.03776032,0.023154935,0.9390847
(2) Adjusted for non-operating effects.,neutral,0.042044047,0.024459394,0.93349653
(3) Subject to 2026 AGM approval.,neutral,0.052122638,0.012161998,0.9357154
(4) Average for period 2026-2030.,neutral,0.03236511,0.03126059,0.93637425
"(5) Cash-effective investments including Corporate Functions & Other in FY25; ~100% of Capex EU taxonomy aligned, based on EU taxonomy eligible capex.",neutral,0.2045954,0.008509417,0.7868952
"(6) Economic Net Debt/EBITDA, EBITDA adjusted for non-operating effects.",neutral,0.09544864,0.04528764,0.8592638
Full year 2025 results | 20Selected macro assumptions1 2026 2030 Real GDP variation (%) 1.1 1.6 1.0 2.0 Inflation (%) 2.0 2.0 2.0 2.0 Exchange rates (local currency / €) 24.4 24.0 398.8 434.3 4.2 4.2 5.1 5.3 10.8 9.9 56.0 75.5 0.89 0.89 Assumed long-term refinancing rates2 (%) ~4 ~4 (1) Power price assumptions not disclosed for competitive reasons.,neutral,0.019326063,0.047631025,0.9330429
(2) Illustrative rate for analyst modelling purposes.,neutral,0.06560188,0.011691258,0.9227069
Full year 2025 results | 21Germany: Upcoming regulatory events 2025 GAS POWER 2026 20272 20282 Determination of efficiency factor (general and individual) for 5th reg.,neutral,0.14146692,0.011832615,0.8467005
period Q3 Determination of revenue cap (EOG) for Gas Q4 Start of new regulatory period (5 th) January Q4 Determination of revenue cap (EOG) for Power Q4 Determinations for new incentive regulation incl.,neutral,0.040131584,0.022227561,0.9376409
Methodology (Gas/Power) Base year for 5th reg.,neutral,0.029796371,0.02745651,0.9427471
period Base year for 5th reg.,neutral,0.026460728,0.054737724,0.9188016
period 2029 January Start of new regulatory period (5 th) Determination of WACC (Cost of Equity and Debt) H2 H2 Determination of WACC (Cost of Equity and Debt) Q3 Determination of efficiency factor (general and individual) for the 5th regulatory period End of Q1 Draft for OPEX adjustment factor1 Relevant milestone for RP 5 regulatory framework assessment gas/power (1) Expected further clarification on the OPEX adjustment factor by the end of Q1 2026.,neutral,0.115274265,0.011557149,0.8731685
(2) Timing for determinations based on latest information provided by German regulator (BNetzA).,neutral,0.047380447,0.012943687,0.9396759
"Full year 2025 results | 22Regulatory period 5 (power) in Germany: Latest information on methodology setup for the period 2029 – 2033 Cost of Equity (40%) Cost of Debt (60%) Benchmarking OPEX-adjustment mechanism All assets (existing assets + new investments) → Risk-free rate is determined based on a historical average aligned with the length of the regulatory period, using yields from 10– 20-year zero-coupon German or comparable European government bonds → Market Risk Premium based on arithmetic mean of historically realized differences of market returns vs. long-term government bond yields.",neutral,0.04117215,0.021924729,0.9369031
"All assets (existing assets + new investments) → The regulatory cost of debt is based on sector-specific bond indices with predominantly ten-year maturities, and the associated credit rating must reflect both the risk profile of German network operators and their financing structure.",neutral,0.03470316,0.016984452,0.94831234
Existing assets → The cost of debt is fixed for the duration of the regulatory period and is derived from the relevant bond index data on a historical average over the past seven years.,neutral,0.029122898,0.023441887,0.94743514
→ A weighting that reflects the sector’s investment behavior over the past seven years can be used in this context1.,neutral,0.05419893,0.019323055,0.926478
New investments: → The cost of debt is dynamically determined using the annual value of the relevant yield series in the year of investment according to the existing cost of capital adjustment methodology in RP4.,neutral,0.029790936,0.01996805,0.950241
→ Move from a so-called “Best-of-4 method”2 to a “Best-of-Mean-of-method”3 → Benchmarking requirements will include redispatch costs as per current proposal → RP5 will include a standardized OPEX adjustment mechanism.,neutral,0.14221625,0.008356698,0.849427
"→ This mechanism should reflect energy transition related increases in operating costs occurring after the base year in the revenue cap, based on changes in structural parameters used in the efficiency benchmark.",positive,0.61941075,0.034809407,0.34577987
→ We expect further details on the mechanism by the end of Q1.,neutral,0.059889894,0.012490794,0.92761934
(1) A weighting is applied only if significantly higher investment volumes are observed across all network operators within a sector.,positive,0.5091718,0.011487386,0.4793408
"(2) Selects as the final efficiency value the best one of 4 efficiency scores, which are calculated using DEA (Data Envelopment Analysis) and SFA (Stochastic Frontier Analysis) methods, each applied to both actual (TOTEX) and standardized (s TOTEX) cost data.",neutral,0.07884405,0.012213266,0.90894264
"(3) Uses for the efficiency value the better of the two method (DEA, SFA) averages.",neutral,0.08679758,0.0136672035,0.89953524
"Full year 2025 results | 23 Cost of Capital (WACC)Operational EfficiencyFinancial Overview €m 2024 2025 % YoY Sales 80,119 78,704 -2 EBITDA1 9,049 9,849 +9 EBIT1 5,762 6,227 +8 Adjusted Net Income1 2,856 3,022 +6 OCFbIT 7,343 9,033 +23 Investments 7,499 8,509 +13 Economic Net Debt -41,067 -43,236 -5 (1) Adjusted for non-operating effects.",neutral,0.026917897,0.05908599,0.9139961
(2) Bonds previously issued by innogy are recorded at their nominal value.,neutral,0.017917143,0.03645138,0.9456315
The figure shown in the Consolidated Balance Sheets is €1.2 billion higher (year-end 2024: €1.4 billion higher).,neutral,0.23963432,0.024741022,0.7356246
Photo shows of a substation (part of EG.,neutral,0.042413317,0.017332794,0.9402539
Full year 2025 results | 24Cash conversion rate of 100% in FY 2025 well in line with expectation CCR1 €bn EBITDA2 -0.8 Investments -1.5 Cash adjustments3 FCF 0.0 Change in WC OCFbIT -1.2 Interest payments -0.8 T ax payments OCF 9.8 9.0 7.0 -8.5 (1) Cash Conversion Rate (CCR): OCFbIT excl.,neutral,0.28173286,0.018791668,0.69947547
OCFbIT related to dismantling activities / Adj.,neutral,0.016760966,0.06771539,0.91552365
(2) Adjusted for non-operating effects.,neutral,0.042044047,0.024459394,0.93349653
"(3) Including non-cash-effective EBITDA items, provision utilizations and payments related to non-operating earnings.",neutral,0.03502882,0.01894265,0.94602853
Full year 2025 results | 25 100% CCR1Economic Net Debt development in FY 2025 as expected Debt factor4 target of ≤ 5.0x Economic Net Debt €bn Securing a strong BBB/Baa rating -43.2 -8.0 -1.7 -0.5 +0.3 Margining effects 0.0 -6.7 Pensions3 +0.8 Dividend2Net Investments FY 20251 OCF FY 2025 +7.0 END FY 2024 Other (incl.,neutral,0.24664119,0.012166712,0.74119216
AROs) -29.2 -5.2 END FY 2025 -32.5 -4.4 -6.4 -41.1 Asset Retirement Obligations (ARO) Pension provisions Net financial position (1) Net of divestments excl.,neutral,0.026447885,0.063473016,0.9100791
(2) Includes also minority dividends.,neutral,0.029372027,0.018521642,0.9521063
"(3) Actuarial interest rates for German pensions at 4.15% (vs. 3.41 % @ FY 2024), for UK pensions at 5.46% (vs. 5.45% @ FY 2024) (4) Economic Net Debt/EBITDA, EBITDA adjusted for non-operating effects.",neutral,0.052765023,0.035216965,0.91201794
"Full year 2025 results | 26Germany + Higher volumes + Lower redispatch costs Energy Networks €m Germany Sweden CEE SEE Total2 FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY Revenue 16,905 19,391 15 1,179 1,302 10 970 846 -13 1,637 1,706 4 20,691 23,245 12 EBITDA1 5,008 5,241 5 714 799 12 632 748 18 514 907 76 6,868 7,695 12 EBIT1 3,075 3,092 1 520 581 12 454 545 20 308 673 119 4,358 4,892 12 thereof equity- method earnings 341 299 -12 0 0 - 82 110 34 91 79 -13 514 487 -5 OCFbIT 4,717 5,471 16 737 876 19 597 864 45 329 836 154 6,379 8,047 26 Investments 4,361 5,344 23 520 588 13 463 505 9 489 586 20 5,834 7,023 20 CEE + Volume effects EBITDA1 €m Drivers All + Organic RAB driven growth CEE Sweden6,868 7,695 FY 2024 FY 2025 SEE Germany SEE + Volume and network loss recoveries (1) Adjusted for non-operating effects.",neutral,0.027781822,0.15015231,0.82206583
(2) Including consolidation effects up to 1m€.,neutral,0.20014086,0.00977866,0.79008055
"Full year 2025 results | 27 +12% Normalizing for value-neutral timing effects €m FY 2025 EBITDA1 Current: EBITDA1 Energy Networks 7,695 Value-neutral timing effects -431 Post-normalization: EBITDA1 Energy Networks 7,264 Adjusted Net Income1 Current: Adj.",neutral,0.040792096,0.032797962,0.92640996
"Net Income1 Group 3,022 Value-neutral timing effects -277 • Energy Network EBITDA1 impacted by effects that are value-neutral over time • Below figures illustrate how the normalization of these effects would impact FY 2025 EBITDA1 Energy Networks and Adj.",neutral,0.023830498,0.091422886,0.8847466
"Net Income1 FY 2025 value-neutral timing effects: Mainly volume and network loss recoveries2 in Europe In addition, higher volumes and lower redispatch costs in Germany (1) Adjusted for non-operating effects.",positive,0.6582342,0.19755614,0.14420971
"(2) Regulatory mechanisms of several regulatory jurisdictions in Europe we operate in, foresee that volume-driven changes in revenues and price-driven cost changes for energy to replace network losses can generally be recovered in subsequent years by corresponding adjustments to network tariffs.",positive,0.589067,0.022157539,0.38877553
Full year 2025 results | 28Energy Infrastructure Solutions 558 588 FY 2024 FY 2025 969 895 FY 2024 FY 2025 Investments €m €m Energy Infrastructure Solutions FY 2024 FY 2025 %YoY EBITDA1 558 588 5 EBIT1 206 200 -3 OCFbIT 405 597 47 Investments 969 895 -8 EBITDA1 €m (1) Adjusted for non-operating effects.,neutral,0.025749473,0.061417703,0.91283286
"Full year 2025 results | 29 +5% -8% Drivers EBITDA + Higher asset availability and increased volumes + Investment-driven organic growth including continued smart meter installationsEnergy Retail €m Germany UK Netherlands Other Total2 FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY FY 2024 FY 2025 % YoY Revenue 20,023 17,934 -10 16,476 14,524 -12 2,759 2,765 +0 17,245 17,182 -0 56,503 52,405 -7 EBITDA1 751 803 7 552 368 -33 192 175 -9 318 352 11 1,813 1,697 -6 EBIT1 650 724 11 524 331 -37 103 92 -11 200 198 -1 1,477 1,345 -9 Thereof equity- method earnings 0 0 - 1 0 -100 5 0 -100 3 4 33 9 4 -56 OCFbIT 230 628 173 243 333 37 74 210 184 850 104 -88 1,397 1,276 -9 Investments 123 105 -15 10 37 270 129 82 -36 285 258 -9 547 480 -12 FY 2024 FY 2025 1,813 1,697 (1) Adjusted for non-operating effect.",neutral,0.14731866,0.01322714,0.83945423
(2) Including consolidation effects up to 2m€.,neutral,0.20675434,0.009899276,0.78334635
"Full year 2025 results | 30 -6% Netherlands UK Other Germany EBITDA1 €m Drivers Germany + Temporary effects from pricing - Phasing effects from true-ups for volume and price assumptions - Provisioning for cost efficiency programs All + Value driven Customer portfolio Management UK - UK market normalization (B2C customers shift from SVT into fixed-term tariffs, B2B roll-off of historical contracts) + Operational bad debt managementEnergy Retail: Customer accounts B2B & B2C Customer accounts m1 Thereof: electricity customers m 1 Thereof: gas customers m 1 FY 2024 FY 2025 47.3 46.8 14.1 8.5 4.0 10.8 9.9 13.6 8.3 3.9 11.0 10.0 5.2 2.1 FY 2024 5.1 2.1 FY 2025 36.6 36.4 11.7 10.8 6.8 11.3 11.0 6.9 FY 2024 FY 2025 10.7 10.4 2.4 3.3 1.9 3.1 2.3 3.2 1.8 3.1 Germany Other2 Netherlands UK Tu rkey (1) Including at-equity participations.",neutral,0.0680101,0.018491559,0.91349834
"Sweden, Italy, Czech Republic, Hungary, Croatia, Romania, Poland, Slovakia.",neutral,0.018934453,0.035998546,0.9450669
"Full year 2025 results | 31 Germany Other2 Netherlands UK Tu rkey -1% -0.5% -3% Germany Other2 Netherlands UK Tu rkeyAdjusted EBITDA1 €m 2024 2025 % YoY Energy Networks 6,868 7,695 +12 Energy Infrastructure Solutions 558 588 +5 Energy Retail 1,813 1,697 -6 Corporate Functions -183 -136 +26 Consolidation -7 5 - T otal Adjusted EBITDA 9,049 9,849 +9 (1) Adjusted for non-operating effects.",neutral,0.034291044,0.04459352,0.9211154
"Photo shown of overhead lines (part of Bayernwerk Netz GmbH, Germany).",neutral,0.04042445,0.015295369,0.94428015
"Full year 2025 results | 32Adjusted Net Income1 €m 2024 2025 % YoY EBITDA 9,049 9,849 +9 Depreciation/amortization -3,287 -3,622 -10 EBIT 5,762 6,227 +8 Economic interest expense, net -1,140 -1,344 -18 EBT 4,622 4,883 +6 Income Taxes on EBT -1,156 -1,221 -6 % of EBT -25% -25% - Non-controlling interests -610 -640 -5 Adjusted Net Income 2,856 3,022 +6 (1) Adjusted for non-operating effects.",neutral,0.022362633,0.054192796,0.9234445
"Photo shown of household PV installation, Germany.",neutral,0.043040935,0.021462942,0.93549615
"Full year 2025 results | 33Cash-effective investments €m 2024 2025 % YoY Energy Networks 5,834 7,023 +20 Energy Infrastructure Solutions 969 895 -8 Energy Retail 547 480 -12 Corporate Functions 152 112 -26 Consolidation -3 -1 +67 Investments 7,499 8,509 +13 Photo shown of overhead lines (part of Avacon AG, Germany).",neutral,0.04548351,0.01468427,0.93983227
"Full year 2025 results | 34Economic Net Debt €m 31 Dec 2024 31 Dec 2025 Liquid funds 7,280 4,352 Non-current securities 869 586 Financial liabilities1 -37,677 -37,295 Adjusted FX hedging 316 -110 Net financial position -29,212 -32,467 Provisions for pensions -5,181 -4,408 Asset retirement obligations -6,674 -6,361 Economic Net Debt -41,067 -43,236 (1) Bonds previously issued by innogy are recorded at their nominal value.",neutral,0.015743546,0.06293957,0.9213169
The figure shown in the Consolidated Balance Sheets is €1.2 billion higher (year-end 2024: €1.4 billion higher).,neutral,0.23963429,0.024741018,0.7356247
"Photo shown of a substation (part of Schleswig-Holstein Netz AG, Germany).",neutral,0.029965423,0.023869818,0.9461648
